"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"320525204","1140.01","","5","5","5","5","5","5","5","58.1","243.4","101.51","0","2","2","EB","FP","8.88797","0.006","1","qlp-s82-ffi","QLP","264.961539","56.078974","-4.979","0.038","13.371","0.041","2460555.403522","0.0001356","13.7431134","0.000002","2.291","0.066","6.257725","0.289838","5747","266.915","12.2235","","84.3134","844","307","121.182","0.27","5941.5","161.9","","","1.34","","","","1.122","","14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60,73,74,75,76,77,78,80,81,82","TICv8 JOIN with TOI 1344.01 (TIC 1400770435); SPOC s14-s41 shows a 600 ppm eccentric secondary; retired as FP","2019-08-27","2024-09-30","2024-10-01"
"284450803","1142.01","","5","5","5","5","5","5","5","650.6","2190","317","2","1","0","EB","FP","8.64028","0.009","1","qlp-s74-ffi","QLP","290.708965","56.615386","6.716","0.113","-14.218","0.101","2460335.937572","0.0039841","3.3686634","0.0000219","3.012","0.601","3.575782","4.031355","3288","3706.13","42.2321","4.12898","9856.24","2775","212","299.294","3.7665","7518","143.2","3.82","0.09","2.68","0.1","","","1.735","0.288743","14,15,16,20,23,26,40,41,47,50,53,54,56,57,59,60,73,74","synced phase modulations; 30 sigma odd-even; v-shaped transits; large radius; TFOP FP; retired as EB","2019-08-27","2024-03-04","2024-03-16"
"288391628","1147.01","","5","5","5","5","5","5","5","565.9","2145.8","317","3","2","2","EB","FP","8.36544","0.006","1","qlp-s74-ffi","QLP","266.962207","83.428826","0.631","0.116","34.935","0.171","2460331.315598","0.0038507","10.9278415","0.0000602","2.468","0.713","2.982266","6.521139","2743","5988.19","49.1695","6.71322","270.142","1129","126","218.258","3.317","6259","130.9","3.59","0.09","2.92","0.14","","","1.217","0.17988","14,18,19,20,21,25,40,41,47,52,53,59,60,73,74","Too large to be a planet for this period (46 RE from MCMC); TFOP FP/ retired as EB","2019-08-27","2024-03-04","2024-03-16"
"154840461","1153.01","","5","5","5","5","3","5","5","52.9","210.4","70.24","0","1","2","PC","APC","8.40534","0.006","1","qlp-s79-ffi","SPOC/QLP","182.691562","85.705076","-14.194","0.065","-2.275","0.051","2460472.256051","0.0008825","6.0360758","0.0000036","1.255","0.167","1.072151","0.504454","987","464.511","9.86763","0.886548","464.097","1293","57","147.134","0.6185","6528.3","179.4","4.21","0.09","1.69","0.06","","","1.689","0.315726","14,19,20,26,40,47,53,59,60,73,74,79","TFOP SB1/APC; v-shaped; possibly synchronized","2019-08-27","2024-08-29","2024-08-31"
"1717732429","1172.01","","5","5","5","5","5","5","5","","","317","0","1","0","EB","FP","10.3018","0.007","1","qlp-s79-ffi","QLP","282.474539","55.26639","0.76","0.181","-8.188","0.171","2460477.917351","0.0005193","7.8513734","0.0000061","6.727","0.105","24.153973","0.46782","22001","430.785","","","","","141","875.061","74.2245","","","","","","","","","","","14,15,16,19,22,23,25,26,40,41,49,52,53,54,55,56,57,58,59,60,73,74,75,76,79","TFOP FP","2019-08-27","2024-08-06","2024-08-07"
"230088370","1176.01","","4","4","4","4","4","4","4","26.6","110.3","109.48","8","3","5","PC","PC","10.1772","0.008","1","qlp-s56-ffi","SPOC/QLP","247.35668","71.505873","-16.259","0.033","5.101","0.036","2460488.345331","0.0076771","14.007564","0.0001513","5.759","0.04","6.719744","0.028561","6170","26.305","12.764","0.537652","200.505","1048","173","295.561","1.773","6557.7","83.3","4.18","0.09","1.57","0.07","","","1.38","0.232595","14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,54,55,56,57,58,59,60,73,74,75,76,77,78,79,80","variable fast rotating host","2019-08-27","2024-08-29","2024-08-29"
"158002130","1180.01","","1","4","4","1","4","4","4","4.9","67.3","9.25","6","14","6","PC","PC","10.112","0.006","1","qlp-s79-ffi","SPOC/QLP","214.555774","82.193764","84.408","0.045","-64.898","0.043","2460473.411486","0.0010904","9.6867516","0.0000103","2.512","0.497","1.813608","0.042519","1669","39.161","3.00336","0.218103","41.6645","707","52","72.0238","0.13235","4738.1","139.3","4.59","0.1","0.73","0.05","","","0.75","0.0934299","14,19,20,21,26,40,41,47,48,53,59,60,73,74,75,79","L1 candidate","2019-08-27","2024-10-09","2024-10-26"
"229510866","1181.01","","4","5","5","4","4","4","4","119.1","121.4","317","12","17","5","CP","CP","10.079","0.009","1","qlp-s75-ffi","QLP","297.215817","64.354351","-5.676","0.084","0.188","0.066","2459933.703375","0.0001437","2.1031942","8e-7","3.993","0.091","7.762468","0.091881","7124","84.6223","16.7087","0.75644","3297.3","2111","9","302.819","3.502","6122","124.7","3.93","0.08","1.93","0.09","","","1.16","0.164212","14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75","TOI-1181 b","2019-08-27","2024-05-16","2024-06-01"
"258777137","1183.01","","5","5","5","5","5","5","5","90.1","308.8","92.23","0","6","2","EB","FP","9.9478","0.007","1","qlp-s75-ffi","SPOC/QLP","286.74712","71.712377","-20.36","2","17.32","2","2460358.094788","0.0006768","5.9294073","0.0000024","3.315","0.049","11.225716","0.118735","10286","109.353","11.5196","","456.893","","389","112.868","","5095.6","1241.5","","","1.06","","","","","","14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59,60,73,74,75","TFOPWG FP Retired as NEB;  released three times with same ephemeris as TIC 1718201850 (TOI-1351.01 T=10.33) TIC 258777137 (TOI-1183.01 T=9.95) and TIC 258777134 (TOI-1299.01 T=10.45); TIC 1718201850 (TOI-1351.01 T=10.33) remains active others are retired","2019-08-27","2024-04-24","2024-04-30"
"233087860","1184.01","","1","4","4","4","4","1","4","5.2","66.3","5.87","7","10","8","PC","PC","9.9469","0.006","1","qlp-s75-ffi","QLP","272.20452","60.678785","64.887","0.042","138.082","0.045","2460362.901553","0.0006963","5.7484351","0.0000038","1.654","0.071","1.140622","0.027782","1050","25.5877","2.28087","0.18708","24.3319","618","52","58.5946","0.0779","4534","127.6","4.61","0.1","0.69","0.06","","","0.71","0.084812","14,15,16,17,18,19,20,21,22,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,75","multiple stars in pixel; variable host","2019-08-27","2024-05-16","2024-06-01"
